song,streams
Haunted - Acoustic Version,"23,903,260"
Anti-Hero - Kungs Remix,"23,620,610"
Daylight - Live From Paris,"23,544,706"
Girl At Home,"23,460,846"
Lavender Haze - Felix Jaehn Remix,"22,980,120"
Lover - First Dance Remix,"22,780,716"
Untouchable,"22,429,209"
Lavender Haze - Acoustic Version,"22,331,379"
cardigan - the long pond studio sessions,"22,225,945"
The Man - Live From Paris,"22,035,691"
my tears ricochet - the long pond studio sessions,"21,105,583"
Message In A Bottle (Fat Max G Remix) (Taylor’s Version),"20,258,103"
Cruel Summer - Live from TS | The Eras Tour,"19,716,223"
august - the long pond studio sessions,"19,274,448"
Anti-Hero (feat. Bleachers),"19,170,778"
this is me trying - the long pond studio sessions,"19,033,804"
Red - Original Demo Recording,"18,609,224"
"Sweeter Than Fiction - From ""One Chance"" Soundtrack","17,821,489"
"Beautiful Ghosts - From The Motion Picture Soundtrack ""Cats""","17,397,232"
Treacherous - Original Demo Recording,"16,733,855"
Come In With The Rain,"16,537,442"
the 1 - the long pond studio sessions,"16,439,047"
You Need To Calm Down - Clean Bandit Remix,"16,431,749"
mirrorball - the long pond studio sessions,"16,152,830"
The Other Side Of The Door,"15,369,658"
Anti-Hero - ILLENIUM Remix,"15,131,673"
illicit affairs - the long pond studio sessions,"14,664,463"
willow - lonely witch version,"14,560,471"
SuperStar,"13,952,127"
the lakes - the long pond studio sessions,"13,814,594"
Teardrops On My Guitar - International Mix,"13,544,314"
willow - 90's trend remix,"13,527,602"
the last great american dynasty - the long pond studio sessions,"13,268,709"
All Too Well (10 Minute Version) (The Short Film),"13,164,254"
seven - the long pond studio sessions,"12,318,671"
* Birch,"12,119,805"
* Should've Said No - The 3D Concert Experience,"11,980,421"
Back To December/Apologize/You're Not Sorry - Live/2011/Medley,"11,775,554"
Santa Baby,"11,699,463"
invisible string - the long pond studio sessions,"11,495,805"
Drops Of Jupiter - Live/2011,"11,493,211"
betty - the long pond studio sessions,"11,448,618"
Lavender Haze - Snakehips Remix,"11,408,854"
* Renegade - Pop Version,"11,383,021"
Cruel Summer - LP Giobbi Remix,"11,268,726"
hoax - the long pond studio sessions,"10,990,366"
Wildest Dreams - R3hab Remix,"10,840,998"
The Archer - Live From Paris,"10,753,683"
Lover - Live From Paris,"10,074,331"
peace - the long pond studio sessions,"10,011,537"
mad woman - the long pond studio sessions,"9,648,747"
Love Story - Digital Dog Remix,"9,569,422"
Christmas Tree Farm (Old Timey Version),"9,495,526"
betty - Live from the 2020 Academy of Country Music Awards,"9,367,168"
"Carolina - ""Where The Crawdads Sing"" - Video Edition","9,361,721"
epiphany - the long pond studio sessions,"9,339,329"
Sparks Fly - Live/2011,"8,946,376"
Bette Davis Eyes - Live/2011,"8,862,291"
willow - moonlit witch version,"8,672,124"
Enchanted - Live/2011,"7,962,536"
Christmases When You Were Mine,"7,877,676"
Delicate - Sawyr And Ryan Tedder Mix,"7,488,631"
The Story Of Us - Live,"7,145,636"
You Need To Calm Down - Live From Paris,"7,005,789"
Mean - Live/2011,"6,765,275"
Mine - Live/2011,"6,728,853"
ME! - Live From Paris,"6,707,666"
Christmas Must Be Something More,"6,696,621"
Anti-Hero - Jayda G Remix,"6,614,730"
Ronan,"6,553,025"
I Want You Back - Live/2011,"6,551,651"
Ours - Live/2011,"6,504,933"
Dear John - Live/2011,"6,418,426"
Better Than Revenge - Live/2011,"6,336,381"
Long Live - Live/2011,"6,322,987"
I Know Places - Voice Memo,"6,260,762"
White Christmas,"6,004,877"
Speak Now - Live/2011,"5,917,885"
Last Kiss - Live/2011,"5,900,842"
Haunted - Live/2011,"5,814,512"
Our Song - International Mix,"5,783,707"
Silent Night,"5,666,507"
Blank Space - Voice Memo,"5,588,969"
* Big Star (with Taylor Swift) - Live,"5,503,479"
I Wish You Would - Voice Memo,"4,798,006"
Love Story - Pop Mix,"4,633,747"
"Macavity - From The Motion Picture Soundtrack ""Cats""","4,518,626"
Anti-Hero - Roosevelt Remix,"3,984,161"
Lavender Haze - Tensnake Remix,"3,272,146"
Love Story - Live From Clear Channel Stripped 2008,"2,943,516"
You're Not Sorry - CSI Remix,"2,800,280"
Lavender Haze - Jungle Remix,"2,072,037"
Christmas Tree Farm - Recorded Live at the 2019 iHeartRadio Jingle Ball,"2,010,421"
Beautiful Eyes - Live From Clear Channel Stripped 2008,"1,957,505"
Love Story - J Stax Radio Mix,"1,932,536"
Fearless - Live From Clear Channel Stripped 2008,"1,634,827"
Should've Said No - Live From Clear Channel Stripped 2008,"1,323,092"
Teardrops On My Guitar - Live From Clear Channel Stripped 2008,"1,108,969"
Picture To Burn - Live From Clear Channel Stripped 2008,"714,481"
Untouchable - Live From Clear Channel Stripped 2008,"710,430"
Blank Space - Karaoke Version,"683,257"
Don't Blame Me - Karaoke Version,"674,549"
Style - Karaoke Version,"593,658"
...Ready For It? - Karaoke Version,"567,822"
Look What You Made Me Do - Karaoke Version,"530,754"
Change - Live From Clear Channel Stripped 2008,"530,111"
Hey Stephen - Commentary,"507,458"
All Too Well - Commentary,"501,165"
Delicate - Karaoke Version,"479,650"
Shake It Off - Karaoke Version,"463,057"
I Did Something Bad - Karaoke Version,"447,510"
We Are Never Ever Getting Back Together - Commentary,"403,584"
Getaway Car - Karaoke Version,"370,931"
I Knew You Were Trouble. - Commentary,"362,870"
I Almost Do - Commentary,"360,657"
Breathe - Commentary,"360,283"
State Of Grace - Commentary,"357,362"
Stay Stay Stay - Commentary,"351,561"
22 - Commentary,"351,517"
Treacherous - Commentary,"347,251"
Love Story - Instrumental with BGV,"340,711"
Wildest Dreams - Karaoke Version,"336,024"
Call It What You Want - Karaoke Version,"328,197"
Red - Commentary,"326,402"
Welcome To New York - Karaoke Version,"326,285"
Out Of The Woods - Karaoke Version,"324,097"
You Belong With Me - Commentary,"315,116"
Style - Commentary,"310,917"
End Game - Karaoke Version,"309,919"
Love Story - Commentary,"305,922"
Gorgeous - Karaoke Version,"304,727"
The Last Time - Commentary,"289,168"
White Horse - Commentary,"287,789"
Out Of The Woods - Commentary,"287,473"
Cruel Summer - LP Giobbi Remix - Extended Version,"285,431"
Tell Me Why - Commentary,"281,483"
Dancing With Our Hands Tied - Karaoke Version,"281,453"
Starlight - Commentary,"281,231"
Holy Ground - Commentary,"280,957"
Begin Again - Commentary,"276,609"
Sad Beautiful Tragic - Commentary,"274,743"
Everything Has Changed - Commentary,"273,995"
New Year's Day - Karaoke Version,"273,678"
Blank Space - Commentary,"272,491"
Welcome to New York - Commentary,"270,567"
King Of My Heart - Karaoke Version,"268,894"
The Lucky One - Commentary,"268,398"
Shake It Off - Commentary,"264,889"
Fearless - Instrumental with BGV,"263,429"
You Belong With Me - Instrumental with BGV,"262,960"
All You Had To Do Was Stay - Commentary,"260,191"
Enchanted - Instrumental With Background Vocals,"259,412"
Bad Blood - Karaoke Version,"255,331"
I Knew You Were Trouble. - Karaoke Version,"254,943"
This Is Why We Can't Have Nice Things - Karaoke Version,"253,732"
Wildest Dreams - Commentary,"252,772"
Fifteen - Commentary,"251,882"
I Wish You Would - Commentary,"250,716"
Fearless - Commentary,"249,731"
Dress - Karaoke Version,"248,907"
You're Not Sorry - Commentary,"247,968"
How You Get The Girl - Commentary,"246,089"
Bad Blood - Commentary,"245,639"
All Too Well - Karaoke Version,"243,886"
The Way I Loved You - Commentary,"242,459"
Forever & Always - Commentary,"236,702"
This Love - Commentary,"236,303"
The Best Day - Commentary,"227,726"
Change - Commentary,"226,539"
I Know Places - Commentary,"223,426"
All You Had To Do Was Stay - Karaoke Version,"222,549"
So It Goes... - Karaoke Version,"222,365"
Clean - Commentary,"222,342"
Clean - Karaoke Version,"221,540"
